Cayman Islands,George Town,Americas,Caribbean,58238,264,Caymanian
Chile,Santiago,Americas,South America,18191900,756102,Chilean
Colombia,Bogotá,Americas,South America,48759958,1141748,Colombian
Costa Rica,San José,Americas,Central America,4890379,51100,Costa Rican
Cuba,Havana,Americas,Caribbean,11239004,109884,Cuban
Curaçao,Willemstad,Americas,Caribbean,154843,444,Dutch
Dominica,Roseau,Americas,Caribbean,71293,751,Dominican
Dominican Republic,Santo Domingo,Americas,Caribbean,10075045,48671,Dominican
Ecuador,Quito,Americas,South America,16545799,276841,Ecuadorean
El Salvador,San Salvador,Americas,Central America,6520675,21041,Salvadoran
Falkland Islands (Malvinas),Stanley,Americas,South America,2563,12173,Falkland Islander
French Guiana,Cayenne,Americas,South America,254541,0,
Greenland,Nuuk,Americas,Northern America,55847,2166086,Greenlandic
Grenada,St. George's,Americas,Caribbean,103328,344,Grenadian
Guadeloupe,Basse-Terre,Americas,Caribbean,400132,0,Guadeloupian
Cayman Islands,George Town,Americas,Caribbean,58238,264,Caymanian
Chile,Santiago,Americas,South America,18191900,756102,Chilean
Colombia,Bogotá,Americas,South America,48759958,1141748,Colombian
Costa Rica,San José,Americas,Central America,4890379,51100,Costa Rican
Cuba,Havana,Americas,Caribbean,11239004,109884,Cuban
Curaçao,Willemstad,Americas,Caribbean,154843,444,Dutch
Dominica,Roseau,Americas,Caribbean,71293,751,Dominican
Dominican Republic,Santo Domingo,Americas,Caribbean,10075045,48671,Dominican
Ecuador,Quito,Americas,South America,16545799,276841,Ecuadorean
El Salvador,San Salvador,Americas,Central America,6520675,21041,Salvadoran
Falkland Islands (Malvinas),Stanley,Americas,South America,2563,12173,Falkland Islander
French Guiana,Cayenne,Americas,South America,254541,0,
Greenland,Nuuk,Americas,Northern America,55847,2166086,Greenlandic
Grenada,St. George's,Americas,Caribbean,103328,344,Grenadian
Guadeloupe,Basse-Terre,Americas,Caribbean,400132,0,Guadeloupian
